	User	Date Created	Number of Likes	Source of Tweet	Tweet	Location
27	dreyy_otunba	2022-03-22 22:43:35+00:00	0	Twitter for Android	"This #HorribleBosses is really a thing. As an IT student I was the 
•graphic designer (average of 7 designs daily), I'm not capping.
•social media manager
•fleet instructor (it's a logistics company, so I call riders to know howfar and sometimes pet customers"	Lagos, Nigeria
28	DamiOlasinde	2022-03-22 22:39:27+00:00	0	Twitter Web App	"@omoalhajaabiola This isn't necessarily bad, imo

In the early beginnings of my content writing business, I earned N1 for about 6 months. 

My outsourcer wasn't horrible, she was gracious. No one should be labelled #HorribleBosses just because they pay N1 or N5 per word.

That's not enough reason"	
29	highlandre1	2022-03-22 22:37:37+00:00	1	Twitter for Android	#HorribleBosses: what a topic!	Global
30	emyjaylove	2022-03-22 22:37:28+00:00	3	Twitter for iPhone	Obi Cubana just signed Portable for N50m but under pays his staffs and over use them. #HorribleBosses	Hell Fire
31	highlykijified	2022-03-22 22:35:41+00:00	5	Twitter for iPhone	"Today’s episode on #2minuteswithKiji I talked about How to avoid Toxic clients and how to japa from them

Click here to listen 

https://t.co/E1lq4lAoTi…

 #toxicworkplace
 #HorribleBosses"	Internet
32	Theorriginal	2022-03-22 22:33:56+00:00	3	Twitter Web App	"It's #horribleboss  trends. But you can also take time to celebrate bosses who deserves the encomium #AmazingBosses 

Don't be deceived, we have more #HorribleEmployees than #horriblebosses"	
33	omamode_orieno	2022-03-22 22:30:43+00:00	0	Twitter for iPhone	"In summary,
From the spaces of #HorribleBosses your average founder is an abuser and a wannabe Steve Jobs. 

These are thought leaders wanting to shape the future of Nigeria and Africa. You wonder why they supported Buhari and are making cases fro El Rufai? 

😂"	United Kingdom
34	im_myk	2022-03-22 22:29:38+00:00	1	Twitter for Android	Ya all dragging #HorribleBosses but your house is very toxic for your helps, security and drivers. Hypocrites I hail una	Worldwide
35	im_myk	2022-03-22 22:23:02+00:00	1	Twitter for Android	some people are just following this #HorribleBosses to drag their former or present HR's/employers coming on his space to play the good guy. If my own peddle falsehood here I will drag him by his balls😂😂😂😂😂	Worldwide
36	gembrity	2022-03-22 22:22:36+00:00	4	Twitter for iPhone	"So many painful experiences that I suffered at the hand of this woman. How was I even able to endure all these for 3 years. Is it the time she called us “Gentiles” 😂😂😂
#HorribleBosses"	
37	Funmillionaire_	2022-03-22 22:22:34+00:00	0	Twitter for iPhone	Reading all the #HorribleBosses tweets and I’m just so thankful for the managers I’ve had becauseee!!! People are really on a turd diet because they don’t want to be back in the unemployment pool 😕😕	Secret Place of the Most High.
38	Ooluwatumilaraa	2022-03-22 22:21:20+00:00	5	Twitter for iPhone	"Pancake obsessed 🤩 

#Ilorintwittercommunity 
#HorribleBosses https://t.co/pHSfprzyi3"	Ibadan, Nigeria
39	kinyemii	2022-03-22 22:20:13+00:00	0	Twitter for Android	"Our working environment in Naija is one million thousand km backward, a lot of things are wrong in our society already, we have a looooooong way to go.

#HorribleBosses"	Persian Gulf
40	gembrity	2022-03-22 22:19:10+00:00	1	Twitter for iPhone	"Says I was attending to a customer and was on the phone. I replied the mail saying I wasn’t attending to a customer and she replied “I was the customer because I am an internal customer” I say Wow 😮. 
#HorribleBosses"	
41	hollaoluwa	2022-03-22 22:18:52+00:00	1	Twitter for Android	I sincerely hope the energy we are churning out by doing online vigil on #HorribleBosses and #toxicworkplace will translate to calling out #horribleGovernors and #toxicpoliticians in the coming months as elections draws near.	Lagos, Nigeria
42	ashirnoura	2022-03-22 22:17:38+00:00	1	Twitter for Android	😂😂😂 epitome of toxicity! #HorribleBosses https://t.co/DrWa0AWKEq	Kaduna, Nigeria
43	lordpatricius1	2022-03-22 22:17:20+00:00	0	Twitter for Android	This is how you'll know DC Comics are #HorribleBosses cos this dude have been running on an errand since season 1. https://t.co/JYEkdq6r2k	Worldwide!!!
44	gembrity	2022-03-22 22:13:46+00:00	2	Twitter for iPhone	"This woman gave me 2 queries and they were not based on my job function.  
The first query was because she could see my bra strap under my top, I mean a woman could’ve easily said “adjust your bra”. But No, I had to answer my very query on “Not properly dressed” 
#HorribleBosses"	
